Sample	Sample_Collector	State	Near_Town	Lat	Long	Group	Stage	Picogreen (ng/ul)	Band_Quality	Pop
1740-91944	Eben Paxton	ID	Mink Creek	42.7507	-112.3923	ada	Breeding	89.67815367	Good	9
1740-91939	Eben Paxton	ID	Mink Creek	42.7507	-112.3923	ada	Breeding	16.64518019	Good	9
1740-91794	Eben Paxton	IN	Willow Slew	40.9833	-87.525	tra	Breeding	182.4271369	Good	
1740-91792	Eben Paxton	IN	Willow Slew	40.9833	-87.525	tra	Breeding	355.14173	Good	
1740-91791	Eben Paxton	IN	Willow Slew	40.9833	-87.525	tra	Breeding	7.365584301	Good	
1740-91793	Eben Paxton	IN	Willow Slew	40.9833	-87.525	tra	Breeding	12.295558	Good	
2750-69223	Brenda Keith	MI	FCTC-SABO	42.84027	-85.303	tra	Breeding	32.27570427	Good	
2750-69228	Brenda Keith	MI	FCTC-SABO	42.84027	-85.303	tra	Breeding	5.617217423	Good	
2730-29419	Brenda Keith	MI	FCTC-SABO	42.84027	-85.303	tra	Breeding	20.33894048	Good	
2550-06470	Brenda Keith	MI	FCTC-SABO	42.84027	-85.303	tra	Breeding	20.62246917	Good	
WIFLB	Eben Paxton	MN	Elm Creek	45.1333	-93.45	tra	Breeding	15.8	Good	
1740-91780	Eben Paxton	MN	Elm Creek	45.1333	-93.45	tra	Breeding	214	Good	
1740-91783	Eben Paxton	MN	Elm Creek	45.1333	-93.45	tra	Breeding	71.8	Good	
WIFLA	Eben Paxton	MN	Elm Creek	45.1333	-93.45	tra	Breeding	78.2	Good	
1590-97497	Eben Paxton	MT	Hamon Memorial	45.95	-114.1333	ada	Breeding	6.507471433	Faint	
1590-97494	Eben Paxton	MT	Hamon Memorial	45.95	-114.1333	ada	Breeding	9.42031855	Faint	
1590-97499	Eben Paxton	MT	Hamon Memorial	45.95	-114.1333	ada	Breeding	10.76480218	Good	
1590-97498	Eben Paxton	MT	Hamon Memorial	45.95	-114.1333	ada	Breeding	11.84266191	Good	
1590-97493	Eben Paxton	MT	Lee Metcalf NWR	46.55	-114.1	ada	Breeding	14.88043454	Good	
1740-91786	Eben Paxton	NY	Black Creek SWMA	42.65	-73.9333	tra	Breeding	43.387601	Good	10
1740-91785	Eben Paxton	NY	Black Creek SWMA	42.65	-73.9333	tra	Breeding	14.755419	Good	10
1740-91788	Eben Paxton	NY	Jen Owen's Mom's House	43.375	-73.7	tra	Breeding	65.644379	Good	10
1740-91790	Eben Paxton	NY	Jen Owen's Mom's House	43.375	-73.7	tra	Breeding	221.87646	Good	10
1740-91789	Eben Paxton	NY	Jen Owen's Mom's House	43.375	-73.7	tra	Breeding	11.81331685	Good	10
1740-91784	Eben Paxton	NY	Tower Road	43.3833	-73.9083	tra	Breeding	41.017667	Good	
1710-20526	Eben Paxton	OR	Finley NWR	44.4091	-123.3471	brw	Breeding	54.03369691	Good	
1710-20525	Eben Paxton	OR	Finley NWR	44.4091	-123.3471	brw	Breeding	98.61220961	Good	
1590-97279	Eben Paxton	OR	Finley NWR	44.4091	-123.3471	brw	Breeding	11.37730609	Good	
1710-20517	Eben Paxton	OR	Jones Creek	43.0394	-123.973	brw	Breeding	28.95046628	Good	11
1710-20519	Eben Paxton	OR	Jones Creek	43.0394	-123.973	brw	Breeding	43.79586882	Good	11
1710-20521	Eben Paxton	OR	Jones Creek	43.0394	-123.973	brw	Breeding	217.2411573	Good	11
1590-97274	Eben Paxton	OR	Jones Creek	43.0394	-123.973	brw	Breeding	5.634852024	Good	11
1590-97273	Eben Paxton	OR	Jones Creek	43.0394	-123.973	brw	Breeding	8.997185793	Good	11
1710-20518	Eben Paxton	OR	Jones Creek	43.0394	-123.973	brw	Breeding	9.411039785	Good	11
1710-20515	Eben Paxton	OR	Jones Creek	43.0394	-123.973	brw	Breeding	12.74210459	Good	11
1710-20514	Eben Paxton	OR	Jones Creek	43.0394	-123.973	brw	Breeding	13.77949859	Good	11
1710-20516	Eben Paxton	OR	Jones Creek	43.0394	-123.973	brw	Breeding	20.08663344	Good	11
1710-20520	Eben Paxton	OR	Jones Creek	43.0394	-123.973	brw	Breeding	20.63476006	Good	11
1710-20366	Eben Paxton	OR	Malheur NWR	42.8333	-118.8667	ada	Breeding	43.73333088	Good	12
1740-91800	Eben Paxton	OR	Malheur NWR	42.8333	-118.8667	ada	Breeding	142.13987	Good	12
1740-91796	Eben Paxton	OR	Malheur NWR	42.8333	-118.8667	ada	Breeding	338.6009	Good	12
1740-91799	Eben Paxton	OR	Malheur NWR	42.8333	-118.8667	ada	Breeding	-0.80208089	Faint	12
1740-91798	Eben Paxton	OR	Malheur NWR	42.8333	-118.8667	ada	Breeding	6.48561246	Good	12
1740-91797	Eben Paxton	OR	Malheur NWR	42.8333	-118.8667	ada	Breeding	9.777199753	Good	12
1710-46312	Eben Paxton	OR	Malheur NWR	42.8333	-118.8667	ada	Breeding	13.32885758	Good	12
1740-91796	Eben Paxton	OR	Malheur NWR	42.8333	-118.8667	ada	Breeding	338.6009	Good	12
1710-20531	Eben Paxton	OR	Priem Road	44.7821	-123.3765	brw	Breeding	52.9889455	Good	13
1710-20530	Eben Paxton	OR	Priem Road	44.7821	-123.3765	brw	Breeding	82.7018228	Good	13
1710-20529	Eben Paxton	OR	Priem Road	44.7821	-123.3765	brw	Breeding	133.8045138	Good	13
1590-97281	Eben Paxton	OR	Priem Road	44.7821	-123.3765	brw	Breeding	13.61579635	Good	13
1590-97282	Eben Paxton	OR	Priem Road	44.7821	-123.3765	brw	Breeding	13.71696066	Good	13
1710-20527	Eben Paxton	OR	Priem Road	44.7821	-123.3765	brw	Breeding	17.56304376	Good	13
1710-20528	Eben Paxton	OR	Priem Road	44.7821	-123.3765	brw	Breeding	19.6819762	Good	13
2760-18648	Tim Kita	PA	Bath	40.742759	-75.335646	tra	Breeding	161.3679818	Good	14
2760-18638	Tim Kita	PA	Bath	40.754404	-75.453241	tra	Breeding	224.4091604	Good	14
2760-18636	Tim Kita	PA	Bath	40.754404	-75.453241	tra	Breeding	308.4274968	Good	14
2760-18640	Tim Kita	PA	Bethlehem	40.645373	-75.41194	tra	Breeding	28.8032363	Good	14
2760-18645	Tim Kita	PA	Bethlehem	40.654095	-75.629079	tra	Breeding	40.65333229	Good	14
2760-18642	Tim Kita	PA	Bethlehem	40.654095	-75.629079	tra	Breeding	75.30834933	Good	14
2760-18643	Tim Kita	PA	Bethlehem	40.654095	-75.629079	tra	Breeding	8.864357638	Good	14
2760-18653	Tim Kita	PA	Easton	40.692697	-75.294579	tra	Breeding	68.44003448	Good	14
2760-18654	Tim Kita	PA	Easton	40.692697	-75.294579	tra	Breeding	151.4651491	Good	14
2760-18660	Tim Kita	PA	Easton	40.692697	-75.294579	tra	Breeding	193.0177912	Good	14
2760-18659	Tim Kita	PA	Easton	40.692697	-75.294579	tra	Breeding	20.93082953	Good	14
2760-18656	Tim Kita	PA	Hellertown	40.553651	-75.305571	tra	Breeding	90.82400332	Good	14
2760-18655	Tim Kita	PA	Hellertown	40.553651	-75.305571	tra	Breeding	118.0696246	Good	14
2760-18657	Tim Kita	PA	Orefield	40.654095	-75.629079	tra	Breeding	63.88049681	Good	14
2760-18662	Tim Kita	PA	Orefield	40.655104	-75.669033	tra	Breeding	64.49459945	Good	14
2760-18663	Tim Kita	PA	Orefield	40.655104	-75.669033	tra	Breeding	71.18456648	Good	14
2760-18641	Tim Kita	PA	Orefield	40.655104	-75.669033	tra	Breeding	77.14003056	Good	14
2760-18647	Tim Kita	PA	Orefield	40.655104	-75.669033	tra	Breeding	111.9694001	Good	14
2760-18658	Tim Kita	PA	Orefield	40.654095	-75.629079	tra	Breeding	160.6460913	Good	14
2760-18661	Tim Kita	PA	Orefield	40.655104	-75.669033	tra	Breeding	213.4312738	Good	14
2760-18646	Tim Kita	PA	Orefield	40.655104	-75.669033	tra	Breeding	224.3954472	Good	14
1740-51656	Eben Paxton	SD	Little White River Rec. Area	43.1667	-101.5333	tra	Breeding	33.03	Good	
1740-51658	Eben Paxton	SD	Little White River Rec. Area	43.1667	-101.5333	tra	Breeding	41.83	Good	
1740-51657	Eben Paxton	SD	Little White River Rec. Area	43.1667	-101.5333	tra	Breeding	59.08	Good	
1740-51659	Eben Paxton	SD	Little White River Rec. Area	43.1667	-101.5333	tra	Breeding	169.37	Good	
1740-51665	Eben Paxton	SD	Waubay NWR	45.4042	-97.3333	tra	Breeding	37.33	Good	
1740-51664	Eben Paxton	SD	Waubay NWR	45.4042	-97.3333	tra	Breeding	43.01	Good	
1740-51666	Eben Paxton	SD	Waubay NWR	45.4042	-97.3333	tra	Breeding	75.72	Good	
1740-51667	Eben Paxton	SD	Waubay NWR	45.4042	-97.3333	tra	Breeding	11.13	Good	
1740-51684	Eben Paxton	UT	Fish Creek	39.7751	-111.2035	ada	Breeding	33.105659	Good	15
1740-51763	Eben Paxton	UT	Fish Creek	39.7751	-111.2035	ada	Breeding	5.240452306	Good	15
1740-51764	Eben Paxton	UT	Fish Creek	39.7751	-111.2035	ada	Breeding	6.3446756	Good	15
1740-51686	Eben Paxton	UT	Fish Creek	39.7751	-111.2035	ada	Breeding	6.5600358	Good	15
1590-97391	Eben Paxton	UT	Fish Creek	39.7751	-111.2035	ada	Breeding	6.819394118	Good	15
1740-51646	Eben Paxton	UT	Fish Creek	39.7751	-111.2035	ada	Breeding	7.110392467	Good	15
1590-97392	Eben Paxton	UT	Fish Creek	39.7751	-111.2035	ada	Breeding	8.303750437	Good	15
1740-51766	Eben Paxton	UT	Fish Creek	39.7751	-111.2035	ada	Breeding	9.891103485	Good	15
1590-97390	Eben Paxton	UT	Fish Creek	39.7751	-111.2035	ada	Breeding	11.11427888	Good	15
1590-97393	Eben Paxton	UT	Fish Creek	39.7751	-111.2035	ada	Breeding	11.35707322	Good	15
1740-91922	Eben Paxton	UT	Fish Creek	39.7751	-111.2035	ada	Breeding	20.98055806	Good	15
1740-91923	Eben Paxton	UT	Fish Creek	39.7751	-111.2035	ada	Breeding	23.80212261	Good	15
1740-51687	Eben Paxton	UT	Fish Creek	39.7751	-111.2035	ada	Breeding	27.396958	Good	15
1740-91921	Eben Paxton	UT	Fish Creek	39.7751	-111.2035	ada	Breeding	28.13931245	Good	15
1740-51825	Eben Paxton	UT	White River Confluence to the Green River	40.6725	-109.6767	ada	Breeding	38.583845	Good	16
1740-51826	Eben Paxton	UT	White River Confluence to the Green River	40.6725	-109.6767	ada	Breeding	51.722198	Good	16
1740-51824	Eben Paxton	UT	White River Confluence to the Green River	40.6725	-109.6767	ada	Breeding	246.66723	Good	16
1740-51823	Eben Paxton	UT	White River Confluence to the Green River	40.6725	-109.6767	ada	Breeding	10.494061	Good	16
1740-51827	Eben Paxton	UT	White River Confluence to the Green River	40.6725	-109.6767	ada	Breeding	17.221824	Good	16
1740-51822	Eben Paxton	UT	White River Confluence to the Green River	40.6725	-109.6767	ada	Breeding	22.192928	Good	16
1740-51828	Eben Paxton	UT	White River Confluence to the Green River	40.6725	-109.6767	ada	Breeding	25.465317	Good	16
1710-46168	Eben Paxton	WA	Carbondale	47.089	-122.0529	brw	Possible Breeding	43.26	Good	17
1710-46172	Eben Paxton	WA	Carbondale	47.089	-122.0529	brw	Possible Breeding	51.57	Good	17
1710-46169	Eben Paxton	WA	Carbondale	47.089	-122.0529	brw	Possible Breeding	66.05	Good	17
1710-46171	Eben Paxton	WA	Carbondale	47.089	-122.0529	brw	Possible Breeding	105.02	Good	17
1710-46170	Eben Paxton	WA	Carbondale	47.089	-122.0529	brw	Possible Breeding	15.7	Good	17
1710-46164	Eben Paxton	WA	Edgwick	47.4689	-121.7109	brw	Possible Breeding	60.59	Good	17
1710-46166	Eben Paxton	WA	Edgwick	47.4689	-121.7109	brw	Possible Breeding	144.49	Good	17
1710-46165	Eben Paxton	WA	Edgwick	47.4689	-121.7109	brw	Possible Breeding	24.9	Good	17
1590-97284	Eben Paxton	WA	Fork clearcut	47.9678	-124.4005	brw	Possible Breeding	70.293387	Good	
1710-20539	Eben Paxton	WA	Fork clearcut	47.9678	-124.4005	brw	Possible Breeding	107.0014899	Good	
1710-20540	Eben Paxton	WA	Fork clearcut	47.9678	-124.4005	brw	Possible Breeding	262.9140839	Good	
1710-20541	Eben Paxton	WA	Fork clearcut	47.9678	-124.4005	brw	Possible Breeding	20.53359575	Good	
